kernel,shape_tag,M,N,K,dtype,BM,BN,BK,stages,warps,group_m,flatten,ws,num_sms,ms,tflops
ws,"n,n,n//8",2048,2048,256,bf16,64,128,64,5,8,8,0,0,0,0.031086987379608275,69.07982500126907
persistent,"n,n,n//8",2048,2048,256,bf16,64,128,64,5,8,8,1,132,0,0.003117333348200191,688.8848281945405
ws,"n,n,n//8",2048,2048,256,bf16,64,128,64,5,8,8,0,0,0,0.030817860412563004,69.68308699083377
persistent,"n,n,n//8",2048,2048,256,bf16,64,128,64,5,8,8,1,132,1,1.1372079998254776,1.8883824668218696
ws,"n,n,n//8",2048,2048,256,bf16,128,64,64,2,4,8,0,0,0,0.016518545485186307,130.00440322822885
persistent,"n,n,n//8",2048,2048,256,bf16,128,64,64,2,4,8,1,132,0,0.0030981539009819524,693.1494420981993
ws,"n,n,n//8",2048,2048,256,bf16,128,64,64,2,4,8,0,0,0,0.016556929232496204,129.7030154471606
persistent,"n,n,n//8",2048,2048,256,bf16,128,64,64,2,4,8,1,132,1,0.9514026708073087,2.257176392176576
ws,"n,n,n//8",2048,2048,256,bf16,128,64,64,2,8,8,0,0,0,0.01692368531746141,126.8921991703712
persistent,"n,n,n//8",2048,2048,256,bf16,128,64,64,2,8,8,1,132,0,0.0031072653435664822,691.1169181113911
ws,"n,n,n//8",2048,2048,256,bf16,128,64,64,2,8,8,0,0,0,0.01699461217741577,126.36261572675384
persistent,"n,n,n//8",2048,2048,256,bf16,128,64,64,2,8,8,1,132,1,1.2070491654532296,1.7791186220601467
ws,"n,n,n//8",2048,2048,256,bf16,128,64,64,3,4,8,0,0,0,0.020088363587009637,106.90187076207114
persistent,"n,n,n//8",2048,2048,256,bf16,128,64,64,3,4,8,1,132,0,0.003113538485754711,689.724459108286
ws,"n,n,n//8",2048,2048,256,bf16,128,64,64,3,4,8,0,0,0,0.02032833327151214,105.63992725411757
persistent,"n,n,n//8",2048,2048,256,bf16,128,64,64,3,4,8,1,132,1,0.8598112046718598,2.497622310957869
