M,N,K,BM,BN,BK,GM,WARP,STG,CTA,WS,FLATTEN,SUB,iters,warmup,bench_ms,bench_tflops,nsys_time_pct,nsys_total_ns,nsys_instances,nsys_avg_ns,nsys_med_ns,nsys_min_ns,nsys_max_ns,nsys_std_ns,kernel_name,_merge,nsys_avg_ms,nsys_med_ms,nsys_avg_tflops,nsys_med_tflops,nsys_cv
32768,32768,4096,128,256,64,8,8,3,1,1,1,0,100,20,12.7501,689.88,12.4,1490060938,120,12417174.5,12336174.0,11534209,13359954,363798.8,matmul_kernel_tma__BM128_BN256_BK64_GM8_WARP8_STG3_CTA1_WS1_FLATTEN1_SUB0,both,12.4171745,12.336174,708.3812039693893,713.0325028009495,0.029298033944839867
32768,32768,4096,128,256,64,8,8,3,1,1,1,1,100,20,12.6674,694.39,12.5,1499111794,120,12492598.3,12386702.0,11834594,13186103,284379.7,matmul_kernel_tma__BM128_BN256_BK64_GM8_WARP8_STG3_CTA1_WS1_FLATTEN1_SUB1,both,12.492598300000001,12.386702,704.1043673202875,710.1238911058003,0.022763855298220868
32768,32768,4096,128,256,64,8,8,3,1,0,1,0,100,20,12.6658,694.48,12.4,1491493439,120,12429112.0,12389697.0,11884464,12900871,233398.6,matmul_kernel_tma__BM128_BN256_BK64_GM8_WARP8_STG3_CTA1_WS0_FLATTEN1_SUB0,both,12.429112,12.389697,707.7008415571441,709.9522306484168,0.01877838094949985
32768,32768,4096,128,256,64,8,8,3,1,0,0,0,100,20,12.9896,677.17,25.0,3012943102,240,12553929.6,12446743.5,10612211,14851468,523305.3,matmul_kernel_tma__BM128_BN256_BK64_GM8_WARP8_STG3_CTA1_WS0_FLATTEN0_SUB0,both,12.5539296,12.4467435,700.6645172048758,706.6983442060969,0.04168458137601791
32768,32768,4096,128,256,64,8,8,4,1,1,0,1,100,20,13.3163,660.55,12.5,1502432228,120,12520268.6,12465033.0,10645189,14683111,579004.9,matmul_kernel_tma__BM128_BN256_BK64_GM8_WARP8_STG4_CTA1_WS1_FLATTEN0_SUB1,both,12.5202686,12.465033,702.5482681903485,705.6614308368056,0.04624540562971628
32768,32768,4096,128,256,64,8,8,3,1,1,0,1,100,20,12.8,687.19,12.5,1508903023,120,12574191.9,12587012.5,11540605,12891730,216864.4,matmul_kernel_tma__BM128_BN256_BK64_GM8_WARP8_STG3_CTA1_WS1_FLATTEN0_SUB1,both,12.5741919,12.5870125,699.5354526288086,698.8229353238506,0.017246786252721337
32768,32768,4096,128,256,64,8,8,3,1,1,0,0,100,20,12.9335,680.1,12.7,1524482944,120,12704024.5,12704686.0,12235859,13089483,141974.0,matmul_kernel_tma__BM128_BN256_BK64_GM8_WARP8_STG3_CTA1_WS1_FLATTEN0_SUB0,both,12.7040245,12.704686,692.3863396365459,692.3502888782925,0.011175513712209859
