M,N,K,BM,BN,BK,GROUP_M,WARPS,STAGES,CTAS,WS,ms,TFLOPs
32768,32768,4096,128,256,64,4,8,4,2,False,15.707536,559.99
32768,32768,4096,128,256,64,4,8,4,1,False,12.634976,696.17
32768,32768,4096,128,256,64,4,4,4,1,True,NaN,NaN
32768,32768,4096,128,256,64,4,8,5,2,False,16.136848,545.09
32768,32768,4096,128,256,64,4,8,5,1,False,NaN,NaN
32768,32768,4096,128,256,64,4,4,5,1,True,NaN,NaN
32768,32768,4096,128,256,64,8,8,3,2,False,16.183855,543.51
32768,32768,4096,128,256,64,8,8,3,1,False,11.864080,741.41
32768,32768,4096,128,256,64,8,4,3,1,True,12.032208,731.05
32768,32768,4096,128,256,64,8,8,4,2,False,15.345840,573.19
32768,32768,4096,128,256,64,8,8,4,1,False,12.534752,701.74
32768,32768,4096,128,256,64,8,4,4,1,True,NaN,NaN
32768,32768,4096,128,256,64,8,8,5,2,False,16.201664,542.91
32768,32768,4096,128,256,64,8,8,5,1,False,NaN,NaN
32768,32768,4096,128,256,64,8,4,5,1,True,NaN,NaN
32768,32768,4096,128,128,64,1,8,3,2,False,24.203392,363.42
32768,32768,4096,128,128,64,1,8,3,1,False,23.560961,373.33
32768,32768,4096,128,128,64,1,4,3,1,True,24.652624,356.80
32768,32768,4096,128,128,64,1,8,4,2,False,24.346560,361.29
32768,32768,4096,128,128,64,1,8,4,1,False,23.968369,366.99
32768,32768,4096,128,128,64,1,4,4,1,True,23.723040,370.78
32768,32768,4096,128,128,64,1,8,5,2,False,28.123983,312.76
32768,32768,4096,128,128,64,1,8,5,1,False,23.597471,372.76
32768,32768,4096,128,128,64,1,4,5,1,True,23.582512,372.99
32768,32768,4096,128,128,64,2,8,3,2,False,23.156193,379.86
32768,32768,4096,128,128,64,2,8,3,1,False,16.655712,528.11
32768,32768,4096,128,128,64,2,4,3,1,True,18.715328,469.99
32768,32768,4096,128,128,64,2,8,4,2,False,23.068176,381.31
32768,32768,4096,128,128,64,2,8,4,1,False,17.139696,513.20
32768,32768,4096,128,128,64,2,4,4,1,True,17.160976,512.56
32768,32768,4096,128,128,64,2,8,5,2,False,23.354273,376.64
32768,32768,4096,128,128,64,2,8,5,1,False,16.968657,518.37
32768,32768,4096,128,128,64,2,4,5,1,True,17.187920,511.76
32768,32768,4096,128,128,64,4,8,3,2,False,23.592512,372.83
32768,32768,4096,128,128,64,4,8,3,1,False,16.704288,526.58
32768,32768,4096,128,128,64,4,4,3,1,True,16.809040,523.30
32768,32768,4096,128,128,64,4,8,4,2,False,23.497761,374.34
32768,32768,4096,128,128,64,4,8,4,1,False,16.155264,544.47
32768,32768,4096,128,128,64,4,4,4,1,True,16.576624,530.63
32768,32768,4096,128,128,64,4,8,5,2,False,22.692160,387.63
32768,32768,4096,128,128,64,4,8,5,1,False,16.830784,522.62
32768,32768,4096,128,128,64,4,4,5,1,True,17.004017,517.30
32768,32768,4096,128,128,64,8,8,3,2,False,23.960384,367.11
32768,32768,4096,128,128,64,8,8,3,1,False,16.678480,527.39
32768,32768,4096,128,128,64,8,4,3,1,True,16.064848,547.54
32768,32768,4096,128,128,64,8,8,4,2,False,23.838064,368.99
32768,32768,4096,128,128,64,8,8,4,1,False,15.923232,552.41
32768,32768,4096,128,128,64,8,4,4,1,True,16.454033,534.59
32768,32768,4096,128,128,64,8,8,5,2,False,21.786625,403.74
32768,32768,4096,128,128,64,8,8,5,1,False,16.674976,527.50
32768,32768,4096,128,128,64,8,4,5,1,True,16.864063,521.59
