M,N,K,BM,BN,BK,GM,WARP,STG,CTA,WS,FLATTEN,SUB,iters,warmup,bench_ms,bench_tflops,nsys_time_pct,nsys_total_ns,nsys_instances,nsys_avg_ns,nsys_med_ns,nsys_min_ns,nsys_max_ns,nsys_std_ns,kernel_name,_merge,nsys_avg_ms,nsys_med_ms,nsys_avg_tflops,nsys_med_tflops,nsys_cv
32768,32768,4096,128,256,64,8,8,3,1,1,1,1,10,3,12.4061,709.01,12.4,149306141,13,11485087.8,11490732.0,10475767,12413826,751638.0,matmul_kernel_tma__BM128_BN256_BK64_GM8_WARP8_STG3_CTA1_WS1_FLATTEN1_SUB1,both,11.4850878,11.490732,765.8707687204619,765.4945761686896,0.06544468906889854
32768,32768,4096,128,256,64,8,8,3,1,0,1,0,10,3,12.4458,706.75,12.4,149851890,13,11527068.5,11567211.0,10512822,12261348,630171.8,matmul_kernel_tma__BM128_BN256_BK64_GM8_WARP8_STG3_CTA1_WS0_FLATTEN1_SUB0,both,11.5270685,11.567211,763.0815260799395,760.4333509787276,0.05466886919254449
32768,32768,4096,128,256,64,8,8,3,1,1,1,0,10,3,12.5436,701.24,12.5,150968945,13,11612995.8,11742826.0,10517078,12118886,642588.3,matmul_kernel_tma__BM128_BN256_BK64_GM8_WARP8_STG3_CTA1_WS1_FLATTEN1_SUB0,both,11.6129958,11.742826,757.4353055572446,749.0610030505433,0.05533355139937276
32768,32768,4096,128,256,64,8,8,4,1,1,0,1,10,3,12.3812,710.44,12.4,149918711,13,11532208.5,11793449.0,10628821,12149445,613703.9,matmul_kernel_tma__BM128_BN256_BK64_GM8_WARP8_STG4_CTA1_WS1_FLATTEN0_SUB1,both,11.5322085,11.793449,762.741414379388,745.845682820013,0.053216510957116325
32768,32768,4096,128,256,64,8,8,3,1,1,0,1,10,3,12.344,712.58,12.4,149518619,13,11501432.2,11862504.0,10650132,12259236,648954.5,matmul_kernel_tma__BM128_BN256_BK64_GM8_WARP8_STG3_CTA1_WS1_FLATTEN0_SUB1,both,11.5014322,11.862504,764.7824087688837,741.5039035778617,0.05642379911607878
32768,32768,4096,128,256,64,8,8,3,1,0,0,0,10,3,12.6663,694.45,25.2,303546813,26,11674877.4,11907478.0,10660179,12497888,748028.5,matmul_kernel_tma__BM128_BN256_BK64_GM8_WARP8_STG3_CTA1_WS0_FLATTEN0_SUB0,both,11.6748774,11.907478,753.4205902845713,738.7032772353641,0.06407163641821198
32768,32768,4096,128,256,64,8,8,3,1,1,0,0,10,3,12.4092,708.84,12.5,150728650,13,11594511.5,12022055.0,10652340,12420610,805080.4,matmul_kernel_tma__BM128_BN256_BK64_GM8_WARP8_STG3_CTA1_WS1_FLATTEN0_SUB0,both,11.5945115,12.022055,758.6428304640517,731.6630161988113,0.06943633632171567
