M,N,K,BM,BN,BK,GM,WARP,STG,CTA,WS,FLATTEN,SUB,iters,warmup,bench_ms,bench_tflops,nsys_time_pct,nsys_total_ns,nsys_instances,nsys_avg_ns,nsys_med_ns,nsys_min_ns,nsys_max_ns,nsys_std_ns,kernel_name,_merge,nsys_avg_ms,nsys_med_ms,nsys_avg_tflops,nsys_med_tflops,nsys_cv
32768,32768,4096,128,256,64,8,8,3,1,1,1,1,10,2,11.894,739.54,12.1,133559839,12,11129986.6,10510678.5,10499126,12797600,962696.1,matmul_kernel_tma__BM128_BN256_BK64_GM8_WARP8_STG3_CTA1_WS1_FLATTEN1_SUB1,both,11.1299866,10.5106785,790.3058052386153,836.8720461013054,0.08649571060579714
32768,32768,4096,128,256,64,8,8,3,1,1,0,0,10,2,12.0811,728.09,12.4,136384854,12,11365404.5,11207022.0,10638324,12284771,573695.3,matmul_kernel_tma__BM128_BN256_BK64_GM8_WARP8_STG3_CTA1_WS1_FLATTEN0_SUB0,both,11.3654045,11.207022,773.9357646450683,784.87336084537,0.05047733232899894
32768,32768,4096,128,256,64,8,8,4,1,1,0,1,10,2,12.2693,716.92,12.5,137825069,12,11485422.4,11499819.5,10639765,12322467,833009.4,matmul_kernel_tma__BM128_BN256_BK64_GM8_WARP8_STG4_CTA1_WS1_FLATTEN0_SUB1,both,11.485422400000001,11.4998195,765.8484569281492,764.8896595470911,0.07252753716746195
32768,32768,4096,128,256,64,8,8,3,1,0,1,0,10,2,12.2222,719.68,12.4,137199046,12,11433253.8,11645544.5,10489557,12350690,857712.4,matmul_kernel_tma__BM128_BN256_BK64_GM8_WARP8_STG3_CTA1_WS0_FLATTEN1_SUB0,both,11.433253800000001,11.6455445,769.3429338731202,755.3183126995907,0.07501909911245039
32768,32768,4096,128,256,64,8,8,3,1,0,0,0,10,2,12.3655,711.34,25.1,277197278,24,11549886.6,11707847.0,10613427,12413344,698511.8,matmul_kernel_tma__BM128_BN256_BK64_GM8_WARP8_STG3_CTA1_WS0_FLATTEN0_SUB0,both,11.549886599999999,11.707847,761.573972700996,751.2989384135273,0.06047780590330645
32768,32768,4096,128,256,64,8,8,3,1,1,1,0,10,2,12.3165,714.17,12.5,137983566,12,11498630.5,11783273.0,10529014,12355683,882821.0,matmul_kernel_tma__BM128_BN256_BK64_GM8_WARP8_STG3_CTA1_WS1_FLATTEN1_SUB0,both,11.4986305,11.783273,764.9687519055421,746.4897929639752,0.07677618652064695
32768,32768,4096,128,256,64,8,8,3,1,1,0,1,10,2,12.4587,706.02,12.7,140028342,12,11669028.5,12122197.5,10615508,12501186,798842.0,matmul_kernel_tma__BM128_BN256_BK64_GM8_WARP8_STG3_CTA1_WS1_FLATTEN0_SUB1,both,11.6690285,12.1221975,753.7982294077009,725.6186860680994,0.06845831253218723
